category,count,mean_bertscore_f1,min_bertscore_f1,mean_reliability
علم التشريح,1,0.576263,0.576263,0.772100
صحة المرأة,1,0.589974,0.589974,0.797000
تخدير,1,0.592434,0.592434,0.801400
فيزيولوجيا,1,0.600812,0.600812,0.775600
خدمات طبية,1,0.604717,0.604717,0.809000
الطب البديل,1,0.610365,0.610365,0.823800
أمراض باطنية,1,0.616545,0.616545,0.824200
الامراض الوراثية,1,0.619236,0.619236,0.781800
جراحة العظام,1,0.620460,0.620460,0.620400
ارتفاع ضغط الدم,1,0.621724,0.621724,0.798100
علم المناعة,1,0.623204,0.623204,0.789200
أمراض الاستقلاب,1,0.623311,0.623311,0.770100
علم الأشعة,1,0.623619,0.623619,0.772700
علم الصيدلة,1,0.623834,0.623834,0.797700
الصحة الجنسية,1,0.626331,0.626331,0.821000
أمراض العضلات والعظام و المفاصل,1,0.626416,0.626416,0.909800
كيمياء عضوية,1,0.627138,0.627138,0.826100
هرمونات,1,0.628493,0.628493,0.804200
أمراض الدم,1,0.629482,0.629482,0.823900
العقم,1,0.631262,0.631262,0.811900
جراحة الأوعية الدموية,1,0.631625,0.631625,0.796100
تغذية,1,0.631977,0.631977,0.797400
علم الوراثة,1,0.632915,0.632915,0.809700
الأمراض الجنسية,1,0.635487,0.635487,0.791200
أخبار الطبي,1,0.636154,0.636154,0.769400
رمضان,2,0.636672,0.632788,0.817300
إسعاف أولي,1,0.640286,0.640286,0.797900
الطب العام,1,0.641531,0.641531,0.847000
كيمياء حيوية,1,0.641882,0.641882,0.823600
جراحة عامة,1,0.642406,0.642406,0.824800
علم الأمراض,1,0.643966,0.643966,0.803100
أمراض الجهاز التنفسي,1,0.644521,0.644521,0.822700
أرجية حساسية,1,0.644855,0.644855,0.856300
جراحة الفك والأسنان,1,0.644901,0.644901,0.823500
جراحة تجميل,1,0.648082,0.648082,0.773300
أمراض الغدد الصماء,1,0.649001,0.649001,0.786000
إدمان,1,0.649721,0.649721,0.784400
مرض السكري,1,0.650841,0.650841,0.821900
علم الأجنة,1,0.651055,0.651055,0.796100
امراض العيون,1,0.651062,0.651062,0.797200
علم النبات,1,0.651160,0.651160,0.787000
صحة عامة,1,0.651652,0.651652,0.842800
أمراض المسالك البولية والتناسلية,1,0.651841,0.651841,0.811500
علم الأحياء,1,0.654503,0.654503,0.801300
الطب الوقائي,2,0.656407,0.641467,0.812650
طب الأسنان,1,0.656615,0.656615,0.825100
الأمراض العصبية,1,0.658470,0.658470,0.823900
كيمياء,1,0.658939,0.658939,0.787200
تجهيزات طبية,1,0.659807,0.659807,0.796700
أمراض الأطفال,1,0.660748,0.660748,0.811000
الصحة و الرياضة,1,0.661872,0.661872,0.800100
الصحة النفسية,1,0.661926,0.661926,0.825200
أمراض القلب و الشرايين,1,0.662137,0.662137,0.767400
جراحة المسالك البولية,1,0.662832,0.662832,0.825200
صحة الأسنان,1,0.662905,0.662905,0.808700
بصريات,1,0.664177,0.664177,0.826000
تشوهات خلقية,1,0.664496,0.664496,0.682000
أمراض نفسية,1,0.666727,0.666727,0.799600
الأمراض الرثويه,1,0.666821,0.666821,0.825200
تاريخ الطب,2,0.666935,0.647742,0.795350
جراحة نسائية,1,0.667175,0.667175,0.825000
الأورام الخبيثة والحميدة,2,0.667334,0.647869,0.804300
جراحة القلب والشرايين,2,0.668139,0.655117,0.815150
الامراض المعدية,1,0.668547,0.668547,0.785400
الأمراض الجلدية,1,0.669139,0.669139,0.785500
علاج طبيعي,1,0.669235,0.669235,0.825300
علم الأنسجة,1,0.669516,0.669516,0.788300
جراحة الأطفال,1,0.671731,0.671731,0.834200
أنف، أذن وحنجرة,1,0.671849,0.671849,0.770400
مختبر,1,0.676629,0.676629,0.773900
فيزياء,1,0.677151,0.677151,0.825300
تشخيص,2,0.678661,0.657042,0.821650
أمراض نسائية,1,0.682843,0.682843,0.833800
مطاعيم و لقاحات,1,0.683049,0.683049,0.764500
علم البيئة,1,0.686528,0.686528,0.780800
صحة الطفل,1,0.687491,0.687491,0.785700
علم النفس,1,0.689174,0.689174,0.794000
أمراض الفم,1,0.689216,0.689216,0.780400
علم السموم,2,0.689979,0.655292,0.830850
جراحة الأعصاب,1,0.690134,0.690134,0.785700
البشرة والجمال,2,0.701005,0.646011,0.793150
صحة الرجل,1,0.706594,0.706594,0.870700
علم الأحياء الدقيقة,2,0.716738,0.645923,0.799900
حمل الأنابيب,1,0.720906,0.720906,0.846100
أعشاب طبية,1,0.722671,0.722671,0.822900
فيتامينات و معادن,1,0.725647,0.725647,0.769400
الحمل والولادة,1,0.726531,0.726531,0.658800
أمراض الأسنان,1,0.728543,0.728543,0.792500
أمراض الجهاز الهضمي,1,0.746410,0.746410,0.820100
صحة المسنين,2,0.804440,0.608880,0.803850
