category,count,mean_bertscore_f1,min_bertscore_f1,mean_reliability
تشخيص,1,0.526355,0.526355,0.789000
أعشاب طبية,1,0.568490,0.568490,0.655700
مطاعيم و لقاحات,1,0.596425,0.596425,0.823700
علم الأجنة,2,0.602150,0.564809,0.793700
علم المناعة,1,0.607306,0.607306,0.785400
الحمل والولادة,1,0.608076,0.608076,0.802000
الامراض المعدية,1,0.608227,0.608227,0.904200
أمراض نسائية,1,0.612097,0.612097,0.790900
هرمونات,1,0.613329,0.613329,0.802700
رمضان,1,0.614725,0.614725,0.835400
جراحة الفك والأسنان,1,0.616718,0.616718,0.809500
جراحة عامة,2,0.617845,0.611175,0.788200
جراحة تجميل,1,0.618754,0.618754,0.799600
علم الوراثة,1,0.620202,0.620202,0.810200
أمراض الدم,1,0.625905,0.625905,0.824000
الطب الوقائي,1,0.626714,0.626714,0.804000
طب الأسنان,1,0.626801,0.626801,0.823400
الطب البديل,1,0.627059,0.627059,0.801000
الصحة النفسية,1,0.627183,0.627183,0.804100
الأمراض الجلدية,1,0.627623,0.627623,0.874000
جراحة نسائية,1,0.627758,0.627758,0.825300
فيتامينات و معادن,1,0.628832,0.628832,0.787100
إدمان,1,0.629722,0.629722,0.802300
أمراض باطنية,1,0.629908,0.629908,0.798300
علم الأحياء الدقيقة,1,0.630098,0.630098,0.810700
الأمراض الرثويه,1,0.631298,0.631298,0.803900
فيزيولوجيا,1,0.632645,0.632645,0.804800
جراحة العظام,1,0.633540,0.633540,0.804000
كيمياء,2,0.634717,0.633077,0.779950
أمراض الأطفال,1,0.635045,0.635045,0.785200
أمراض الأسنان,1,0.635245,0.635245,0.823100
صحة المرأة,1,0.635367,0.635367,0.773100
البشرة والجمال,2,0.635384,0.607276,0.800500
بصريات,1,0.639397,0.639397,0.769100
مرض السكري,1,0.640081,0.640081,0.862300
علم النبات,1,0.640671,0.640671,0.768400
علم السموم,2,0.640844,0.640148,0.745050
ارتفاع ضغط الدم,1,0.641561,0.641561,0.769900
أمراض العضلات والعظام و المفاصل,1,0.642247,0.642247,0.836100
أمراض الجهاز الهضمي,1,0.642303,0.642303,0.769200
صحة عامة,1,0.643217,0.643217,0.769100
علم النفس,1,0.643369,0.643369,0.780800
علم الأمراض,1,0.643581,0.643581,0.806900
علم الأحياء,1,0.643948,0.643948,0.810200
جراحة المسالك البولية,2,0.646378,0.641338,0.808400
علاج طبيعي,1,0.648186,0.648186,0.809500
الأمراض الجنسية,1,0.650595,0.650595,0.820300
الامراض الوراثية,1,0.650704,0.650704,0.648000
أرجية حساسية,2,0.651916,0.646647,0.838150
الأورام الخبيثة والحميدة,1,0.652375,0.652375,0.795300
إسعاف أولي,1,0.655908,0.655908,0.814800
خدمات طبية,1,0.655919,0.655919,0.825700
صحة الأسنان,1,0.658419,0.658419,0.799500
جراحة القلب والشرايين,2,0.658899,0.645938,0.831600
أمراض الجهاز التنفسي,1,0.660530,0.660530,0.777200
تغذية,1,0.661376,0.661376,0.764500
مختبر,1,0.662522,0.662522,0.792200
أنف، أذن وحنجرة,1,0.662926,0.662926,0.797300
علم الصيدلة,1,0.663165,0.663165,0.785200
أخبار الطبي,1,0.663270,0.663270,0.838000
علم التشريح,1,0.664002,0.664002,0.823400
الصحة الجنسية,2,0.664652,0.631300,0.795700
تشوهات خلقية,2,0.664818,0.661378,0.797350
امراض العيون,1,0.664868,0.664868,0.770000
صحة الطفل,1,0.665464,0.665464,0.883300
الأمراض العصبية,1,0.666948,0.666948,0.861600
علم الأشعة,1,0.667243,0.667243,0.825900
الصحة و الرياضة,1,0.669467,0.669467,0.801600
جراحة الأطفال,1,0.670645,0.670645,0.802200
أمراض الغدد الصماء,2,0.672354,0.663642,0.778700
فيزياء,1,0.672978,0.672978,0.828200
تخدير,1,0.673279,0.673279,0.796600
أمراض المسالك البولية والتناسلية,2,0.676244,0.672172,0.817100
أمراض الفم,1,0.676984,0.676984,0.793700
أمراض نفسية,1,0.677963,0.677963,0.821000
الطب العام,1,0.679675,0.679675,0.795700
تاريخ الطب,1,0.680980,0.680980,0.818300
علم الأنسجة,1,0.682160,0.682160,0.802100
جراحة الأعصاب,1,0.682757,0.682757,0.827600
أمراض الاستقلاب,1,0.690122,0.690122,0.780500
أمراض القلب و الشرايين,1,0.690279,0.690279,0.845600
جراحة الأوعية الدموية,1,0.690916,0.690916,0.799900
كيمياء حيوية,1,0.724667,0.724667,0.808800
صحة المسنين,1,0.728315,0.728315,0.838500
صحة الرجل,1,0.739380,0.739380,0.793100
حمل الأنابيب,1,0.761107,0.761107,0.807400
العقم,1,0.793854,0.793854,0.794200
تجهيزات طبية,1,0.868170,0.868170,0.767000
